Entry	Seq_count
tr|A0A1C9HME1|A0A1C	782
tr|A0A1G6KXS1|A0A1G	285
tr|A0A2W7CBW1|A0A2W	18
tr|A0A4S4A1Y2|A0A4S	113
tr|A0A4V3UR93|A0A4V	22
tr|A0A501PPA9|A0A50	1
tr|A0A532CK55|A0A53	20
tr|A0A560KZU9|A0A56	1
tr|A0A5E4S5B0|A0A5E	5
tr|A7HTQ8|A7HTQ8_PA	4
tr|X7EES9|X7EES9_9R	249
tr|A0A1Q7KWW3|A0A1Q	59
tr|A0A2V7S8E7|A0A2V	3
tr|X5Q1R3|X5Q1R3_9H	32
tr|A0A086BP41|A0A08	1448
tr|A0A0B4VFF0|A0A0B	6320
tr|A0A0E3N0S0|A0A0E	6
tr|A0A0K9XF76|A0A0K	775
tr|A0A0N0A5Q6|A0A0N	793
tr|A0A0N0V2W0|A0A0N	5
tr|A0A0P9JHJ2|A0A0P	736
tr|A0A0Q5MFN6|A0A0Q	235
tr|A0A0Q6SD00|A0A0Q	303
tr|A0A0Q9A0J2|A0A0Q	29
tr|A0A0V8T1M8|A0A0V	8
tr|A0A0V8T1P8|A0A0V	10
tr|A0A158AZ13|A0A15	19
tr|A0A1H8Z1F2|A0A1H	3
tr|A0A1I7B082|A0A1I	35
tr|A0A1L7NQB7|A0A1L	32
tr|A0A1Y2NLH8|A0A1Y	16
tr|A0A223D4I4|A0A22	45
tr|A0A231HI90|A0A23	6
tr|A0A258KVT9|A0A25	1
tr|A0A2A3J8Z8|A0A2A	1119
tr|A0A2S8P6K8|A0A2S	16
tr|A0A2S9PQN3|A0A2S	2271
tr|A0A2T4NTY1|A0A2T	53
tr|A0A2V3W5M6|A0A2V	3
tr|A0A2V7NEF6|A0A2V	8
tr|A0A2V9ATT5|A0A2V	13
tr|A0A2V9U482|A0A2V	14
tr|A0A2W6PL11|A0A2W	308
tr|A0A365H0X2|A0A36	68
tr|A0A3D1EKG9|A0A3D	13
tr|A0A3N3ZQ88|A0A3N	36
tr|A0A4P6JXV8|A0A4P	27
tr|A0A4Q3WBC4|A0A4Q	1
tr|A0A4Q5PQ70|A0A4Q	23
tr|A0A4U0H138|A0A4U	1
tr|A0A537J3N1|A0A53	8
tr|A0A5J6ZDJ7|A0A5J	305
tr|A0A6L9STE8|A0A6L	15
tr|A0A6P2YXC9|A0A6P	146
tr|A0A6S7DIY3|A0A6S	245
tr|A0A7C8ADP9|A0A7C	1
tr|A0A7M3M0D6|A0A7M	8
tr|A0A7R8ZTI3|A0A7R	1
tr|A0A7T1MKT5|A0A7T	653
tr|A0A7V8V655|A0A7V	3
tr|A0A7V9KLY6|A0A7V	37
tr|A0A7V9VC58|A0A7V	25
tr|A0A7W8VC27|A0A7W	69
tr|A0A7Y4TLZ6|A0A7Y	6
