Entry	Seq_count
tr|A0A1C9HME1|A0A1C	782
tr|A0A1G6KXS1|A0A1G	285
tr|A0A2W7CBW1|A0A2W	18
tr|A0A4S4A1Y2|A0A4S	113
tr|A0A4V3UR93|A0A4V	22
tr|A0A501PPA9|A0A50	1
tr|A0A532CK55|A0A53	20
tr|A0A560KZU9|A0A56	1
tr|A0A5E4S5B0|A0A5E	5
tr|A7HTQ8|A7HTQ8_PA	4
tr|X7EES9|X7EES9_9R	249
tr|A0A0P1GM60|A0A0P	9
tr|A0A0Q6XY66|A0A0Q	3
tr|A0A1C3VIR9|A0A1C	4
tr|A0A1C3WG67|A0A1C	1
tr|A0A1C3XSH2|A0A1C	44
tr|A0A1H8TML4|A0A1H	3
tr|A0A1Q5H598|A0A1Q	42
tr|A0A1Y5PQI1|A0A1Y	20
tr|A0A258R3V0|A0A25	4
tr|A0A2E0IHE1|A0A2E	1
tr|A0A2T1HX84|A0A2T	1
tr|A0A2W4LYL1|A0A2W	13
tr|A0A397PAL2|A0A39	6
tr|A0A4Z1CAS0|A0A4Z	5
tr|A0A519S041|A0A51	1
tr|A0A7V9ANY9|A0A7V	11
tr|A0A7W8ERC5|A0A7W	66
tr|A0A7X4DQG5|A0A7X	2
tr|A0A7Z3CQE5|A0A7Z	194
tr|A0A845Q8Q4|A0A84	1
tr|A0A936YNP5|A0A93	188
tr|A0A961J139|A0A96	6
tr|A3T328|A3T328_SU	4
tr|Q93UX7|Q93UX7_RH	179
tr|X5Y563|X5Y563_9H	169
tr|A0A154C3X2|A0A15	15
tr|A0A1E4EVB5|A0A1E	13
tr|A0A1G9A4B3|A0A1G	384
tr|A0A2A4LES6|A0A2A	1
tr|A0A3M5ZMT1|A0A3M	32
tr|A0A3S1TXM0|A0A3S	52
tr|A0A410VHW1|A0A41	47
tr|A0A7W7NV52|A0A7W	8
tr|A0A7W8XTY2|A0A7W	88
tr|A0A7X6H3C4|A0A7X	1
tr|A0A934DWN0|A0A93	4
tr|A0A949TDZ5|A0A94	2
tr|B2IHP8|B2IHP8_BE	11
tr|A0A0Q6GTQ0|A0A0Q	391
tr|A0A1I6RNQ5|A0A1I	7
tr|A0A258I7Q3|A0A25	11
tr|A0A259QX45|A0A25	311
tr|A0A2E3PUV7|A0A2E	1
tr|A0A2G9X2I6|A0A2G	1
tr|A0A3A8ADB3|A0A3A	72
tr|A0A3B0ZMT9|A0A3B	1
tr|A0A411WKK1|A0A41	99
tr|A0A504TXB1|A0A50	84
tr|A0A839EHM5|A0A83	16
tr|A0A923YPK5|A0A92	7
tr|A0A950JH56|A0A95	3
tr|A0A962FKI0|A0A96	2
tr|F0FXH8|F0FXH8_9B	2
tr|A0A1H3TW38|A0A1H	548
tr|A0A1H6GCF5|A0A1H	380
