Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Class	Seq_count	pattern	clades
tr|A0A058ZMJ2|A0A058ZMJ2_9RHOB_Transcriptional_activator_protein_vanR_OS=Actibacterium_atlanticum_OX=1461693_GN=ATO10_05921_PE=4_SV=1	unreviewed	A0A058ZMJ2_9RHOB	Transcriptional activator protein vanR	ATO10_05921	Actibacterium atlanticum	246	Actibacterium (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A058ZMJ2	clade_2
tr|A0A060ICC8|A0A060ICC8_9HYPH_LuxR_family_transcriptional_regulator_protein_OS=Rhizobium_sp._IE4771_OX=1301032_GN=IE4771_PA00214_PE=4_SV=1	unreviewed	A0A060ICC8_9HYPH	LuxR family transcriptional regulator protein	IE4771_PA00214	Rhizobium sp. IE4771	261	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	85	tr|A0A060ICC8	clade_4
tr|A0A062TUG5|A0A062TUG5_9PROT_Uncharacterized_protein_OS=Hyphomonas_pacifica_OX=1280941_GN=HY3_01425_PE=4_SV=1	unreviewed	A0A062TUG5_9PROT	Uncharacterized protein	HY3_01425	Hyphomonas pacifica	244	Hyphomonas (genus), Hyphomonadaceae (family), Hyphomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A062TUG5	clade_3
tr|A0A062U0D3|A0A062U0D3_9PROT_Uncharacterized_protein_OS=Hyphomonas_pacifica_OX=1280941_GN=HY3_12170_PE=4_SV=1	unreviewed	A0A062U0D3_9PROT	Uncharacterized protein	HY3_12170	Hyphomonas pacifica	255	Hyphomonas (genus), Hyphomonadaceae (family), Hyphomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A062U0D3	clade_3
tr|A0A068RB44|A0A068RB44_9GAMM_Autoinducer_binding/Bacterial_regulatory_proteins_luxR_family_domain-containing_protein_OS=Serratia_symbiotica_SCt-VLC_OX=1347341_GN=SCTVLC_1448_PE=4_SV=1	unreviewed	A0A068RB44_9GAMM	Autoinducer binding/Bacterial regulatory proteins, luxR family domain-containing protein	SCTVLC_1448	Serratia symbiotica SCt-VLC	262	Serratia symbiotica (species), Serratia (genus), Yersiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	104	tr|A0A068RB44	clade_6
tr|A0A081BEZ8|A0A081BEZ8_9HYPH_Transcriptional_regulator_LuxR_family_protein_OS=Tepidicaulis_marinus_OX=1333998_GN=M2A_3115_PE=4_SV=1	unreviewed	A0A081BEZ8_9HYPH	Transcriptional regulator, LuxR family protein	M2A_3115	Tepidicaulis marinus	262	Tepidicaulis (genus), Parvibaculaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A081BEZ8	clade_2
tr|A0A081BFF9|A0A081BFF9_9HYPH_DNA-binding_HTH_domain-containing_protein_OS=Tepidicaulis_marinus_OX=1333998_GN=M2A_3276_PE=4_SV=1	unreviewed	A0A081BFF9_9HYPH	DNA-binding HTH domain-containing protein	M2A_3276	Tepidicaulis marinus	242	Tepidicaulis (genus), Parvibaculaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A081BFF9	clade_5
tr|A0A081RKC1|A0A081RKC1_SPHCR_Putative_LuxR_family_transcriptional_regulator_OS=Sphingobium_chlorophenolicum_OX=46429_GN=BV95_00283_PE=4_SV=1	unreviewed	A0A081RKC1_SPHCR	Putative LuxR family transcriptional regulator	BV95_00283	Sphingobium chlorophenolicum	263	Sphingobium (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	27	tr|A0A081RKC1	clade_5
tr|A0A084D7S2|A0A084D7S2_9BURK_LuxR_family_transcriptional_regulator_OS=Burkholderia_sp._MSh2_OX=1506588_GN=GQ57_33140_PE=4_SV=1	unreviewed	A0A084D7S2_9BURK	LuxR family transcriptional regulator	GQ57_33140	Burkholderia sp. MSh2	230	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	2	tr|A0A084D7S2	clade_6
tr|A0A084ESX8|A0A084ESX8_SPHYA_LuxR-family_transcriptional_regulator_OS=Sphingobium_yanoikuyae_OX=13690_GN=luxR_PE=4_SV=1	unreviewed	A0A084ESX8_SPHYA	LuxR-family transcriptional regulator	luxR CP98_00519	Sphingobium yanoikuyae (Sphingomonas yanoikuyae)	258	Sphingobium (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	9	tr|A0A084ESX8	clade_5
tr|A0A084UDE1|A0A084UDE1_9HYPH_DNA-binding_protein_with_HTH_domain_protein_OS=Nitratireductor_basaltis_OX=472175_GN=EL18_02018_PE=4_SV=1	unreviewed	A0A084UDE1_9HYPH	DNA-binding protein with HTH domain protein	EL18_02018	Nitratireductor basaltis	240	Nitratireductor (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A084UDE1	clade_2
